system_id,status,plr_pct_yr,ci_low,ci_high,n_days,n_years,pi_median,first,last
10621,ok,-2.263292300359021,-2.957660985685351,-0.7349410935096147,1600,6,1.1405815060919766,2018-01-03,2023-12-31
10630,ok,1.0406887214066296,-0.0631643563880516,2.437166861195206,1954,6,0.9308521227658708,2018-01-01,2023-12-31
10631,ok,-6.796707605199526,-7.676808775116304,-5.9338682151337725,1069,6,1.09143471388684,2018-01-02,2023-12-31
10634,ok,-0.2044957446929456,-1.6020091594147745,1.2368053553972285,1862,6,1.0594109822185491,2018-01-02,2023-12-31
10632,ok,1.4083864897721177,-0.567936354327403,2.6354512778348185,1720,6,1.1111283754897174,2018-01-01,2023-12-31
10640,ok,-1.4056792745306357,-1.9924829939110216,-0.9015321538127452,2100,6,0.7875499095070423,2018-01-01,2023-12-31
10643,ok,-1.2767465566463354,-1.9327375415104144,-0.3499438694882285,993,6,1.5140023813277983,2018-01-03,2023-12-31
10646,ok,-7.182671079126006,-9.352923883689469,-5.700363815253443,1660,6,1.069187042846738,2018-01-09,2023-12-31
10641,ok,0.5123095798158839,-1.0840669622789048,2.114484660848544,1571,6,1.2200538242623231,2018-01-05,2023-12-31
10647,ok,1.4448751209057606,0.2218797567578256,2.4536561145305225,1525,6,1.0709692303202554,2018-01-09,2023-12-31
10651,ok,2.870301904031902,0.7005118915120123,4.198647192505289,1598,6,0.832917983670189,2018-01-11,2023-12-30
10649,ok,0.0236221444404765,-0.9723193993641744,1.1282415837471138,1706,6,1.1273552995045093,2018-01-01,2023-12-31
10653,ok,-2.180116583944931,-3.2554382922722613,-1.2157469989124468,2010,6,0.9423881911750764,2018-01-11,2023-12-31
10655,ok,-1.857862278651801,-2.454843690031076,-1.3831871838141108,1893,6,1.47552245558174,2018-01-02,2023-08-21
10664,ok,1.2112176898888771,0.660393285788633,1.8479063733320256,2170,6,0.712652472654547,2018-01-01,2023-12-31
10665,ok,0.0634167279683224,-2.240704779053376,1.4853106593979586,837,6,1.1398343975511327,2018-01-02,2023-12-31
10659,ok,-0.6426743849121619,-1.3649203620472783,0.3774783273229165,2040,6,0.6580534898941077,2018-01-01,2023-12-31
10668,ok,-5.036547999733642,-5.8859765085868325,-4.114251051209294,1983,6,0.7282744427218018,2018-01-01,2023-12-31
10673,ok,1.9462548638555148,0.9268787144887904,2.754797165123213,816,5,1.5055275068859024,2018-01-03,2022-07-03
10686,ok,0.1343753896027118,-2.398978854389233,2.387711467992999,896,6,1.1347129328412036,2018-01-01,2023-12-23
10689,ok,3.9115053856711657,3.0270977777561603,5.110304058563586,2025,6,0.8429413597304489,2018-01-01,2023-12-31
10674,ok,-0.3816823193459773,-1.1685408242664554,0.4074435082644267,2019,6,1.183025827375983,2018-01-02,2023-12-31
10678,ok,-5.66597750572333,-6.816041608404522,-4.472860332533257,1722,6,0.9055606835687716,2018-08-12,2023-12-31
10677,ok,-0.9002539784177477,-1.2917374820149763,-0.2643320535536453,2088,6,0.7879864914547406,2018-01-01,2023-12-31
10682,ok,-0.99573971540734,-1.971095257317568,0.2840153295205731,1831,6,1.1878121915543052,2018-01-03,2023-12-31
10675,ok,-1.854883903199012,-2.54057502020082,-1.2424024191890164,1100,6,1.3091003408729864,2018-01-02,2023-12-31
10681,ok,-1.8099491360578976,-2.6567912930705706,-1.1021896224086114,1903,6,1.131706801418555,2018-01-01,2023-12-31
10692,ok,-0.1600092781376687,-0.6707706152783932,0.526668285823273,1530,6,1.2009285639202143,2018-01-02,2023-12-31
10690,ok,-0.341896465904048,-1.41502300377494,0.6174455492053754,2047,6,1.1738533377782512,2018-01-01,2023-12-31
10713,ok,-8.817405033894644,-9.856558640426227,-8.026180037367649,2044,6,0.8709224229686898,2018-01-01,2023-12-31
10694,ok,0.3363123570915707,-0.2322803709196632,0.954097998600361,2037,6,1.4475871837038727,2018-01-02,2023-12-31
