system_id,system_public_name,latitude,longitude,dc_capacity_kW,years,number_records,dataset_size_mb,available_sensor_channels,kg_climate,A_PVCZ_T,A_PVCZ_H,A_MOUNT,A_TRACK,A_TILT,A_AZ,A_CAP,A_VINT,P0_cell,P0_primary_TH
10095,Pvoutput.org Watts on the roof,47.55318,-122.37593,4.8,12.0739,1252818.0,28.67,2,Csb,T2,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T2|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T2:H3
10096,Pvoutput.org mashNET-PV-1,40.49762,-105.053886,5.5,8.1863,742998.0,17.01,2,Bsk,T1,H1,UNKNOWN,fixed,mid,south,residential,2010-2014,T1|H1|UNKNOWN|fixed|mid|south|residential|2010-2014,T1:H1
10098,Pvoutput.org Minor 2/2,34.232003,-118.24753,1.806,10.3643,1090680.0,24.96,2,Csb,T4,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T4:H3
10099,Pvoutput.org PRVA-4 Meetinghouse,42.196144,-71.76272,4.14,8.9643,845546.0,19.35,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10100,Pvoutput.org Bobs Solar,33.841014,-118.00969,6.5,8.1589,871768.0,19.95,2,Csa,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10101,Pvoutput.org FreeSolarLonglsland,40.742901,-73.67895,4.864,12.3698,1291068.0,29.55,2,Cfa,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10102,Pvoutput.org d&d urban solar homestead,38.88106,-76.983248,4.935,12.3643,1296902.0,29.68,2,Cfa,T4,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T4:H3
10103,Pvoutput.org Teddy-Denise 5kW CrossvilleTN,36.04347,-85.094842,4.998,12.3561,1265710.0,28.97,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10104,Pvoutput.org Valenty,38.684324,-121.06879,6.11,10.4219,1109356.0,25.39,2,Csa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10105,Pvoutput.org Hurley - Palm Bay,27.966602,-80.650309,6.72,12.3041,1219296.0,27.91,2,Cfa,T5,H4,UNKNOWN,fixed,low,north,residential,2010-2014,T5|H4|UNKNOWN|fixed|low|north|residential|2010-2014,T5:H4
10106,Pvoutput.org Porter Ranch Power,34.290657,-118.536841,5.04,12.3835,1248410.0,28.57,2,Csb,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10107,Pvoutput.org Koolaupoko,21.406393,-157.807548,10.8,8.0904,817784.0,18.72,2,Cfb,T5,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T5|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T5:H3
10108,Pvoutput.org lumahai,20.813777,-156.294501,8.16,12.0657,1279206.0,29.28,2,Cfb,T6,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T6|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T6:H3
10109,Pvoutput.org RCRidge,37.057575,-122.01507,5.88,8.0739,422292.0,9.67,2,Csb,T5,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H3
10110,Pvoutput.org Dans House,44.018871,-88.61324,3.75,12.3397,1415962.0,32.41,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10111,Pvoutput.org StrangePV,33.639994,-117.60351,7.68,10.1808,781348.0,17.88,2,Csa,T4,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H3
10112,Pvoutput.org Rastogi Solar Power Station,37.198875,-121.84287,6.0,8.0493,842720.0,19.29,2,Csb,T5,H2,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H2|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H2
10113,Pvoutput.org Bivens House - SolarYpsi.com,35.05462,-106.572149,6.6,6.3205,729376.0,16.69,2,Bsk,T3,H2,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H2|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H2
